date,経済成長率,失業率,雇用コスト指数の伸び率,平均時給の伸び率,インフレ期待,消費者物価の上昇率,消費者物価の上昇率（食品・エネルギー除く）,卸売り物価（PPI）の上昇率,個人消費の伸び,新車販売台数(百万台),小売り在庫／販売の比率,住宅価格の上昇率（前年同月比）,新規住宅着工件数
2013/09/01,0.12059554430000362,-0.4327618107180939,-1.0815655900022512,-0.2742453599064253,0.43220467097950216,-0.659166149925218,-0.3958967925122774,-0.45718688731764845,0.045012345243500215,-0.019085617410162743,-0.2557619715071426,0.9216596005377066,-0.44513493826225325
2013/10/01,0.07677850529083698,-0.4327618107180939,-1.0858559176348053,-0.2746337281868821,0.5532104929197993,-0.7981851762253791,-0.43014882592867343,-0.4925156915446747,0.045012345243500215,-0.07897915500134593,-0.34379167332820504,0.9587490484235839,-0.3307301959460017
2013/11/01,0.07677850529083698,-0.2977328269100589,-1.0858559176348053,0.13923965969774763,0.50470005516812,-0.5710502090920488,-0.39168666154589876,-0.46473212240800915,0.10969027821474328,0.08319411601478224,-0.5198510769703301,0.9361540173042978,-0.37363197431459605
2013/12/01,0.07677850529083698,-0.20771350437136882,-1.0858559176348053,-0.48245158833686885,0.48386366714334994,-0.3924606811425211,-0.4262714935346512,-0.3866447842432855,-0.14902145367022893,-0.02922144684867004,-0.43182137514926755,0.9384159551875744,-0.44227481970434696
2014/01/01,-0.5512657205072178,-0.16270384310202357,-0.7731623590188863,-0.1728270888906777,0.6659461102308781,-0.3638062874601161,-0.5042602407050937,-0.3302640031580709,-0.343055252583958,-0.13104046075368228,-0.6078807787913925,0.8907448366057759,-0.5252182578836293
2014/02/01,-0.5512657205072178,-0.20771350437136882,-0.7731623590188863,0.5478537711498829,0.46658471122037226,-0.6427464673411991,-0.5557961608691134,-0.3240664896630247,0.23904614415722933,0.04357223730061446,-0.43182137514926755,0.8395270797679079,-0.34503078873553317
2014/03/01,-0.5512657205072178,-0.20771350437136882,-0.7731623590188863,-0.688302477446992,0.4962783791720455,-0.3287629629755747,-0.5057730763605418,-0.21164152475043785,0.1743682111859863,0.5006060010733385,-0.34379167332820504,0.6332906234227598,-0.26494746911415706
2014/04/01,0.4127091376944477,0.017334801975356248,1.1140292563684384,-0.27783285398530844,0.4811048422480854,-0.07205573379790675,-0.1830761331902171,-0.08449811738759372,-0.019665587727742816,0.3669973402930061,-0.2557619715071426,0.46143147117928457,-0.19916474228231246
2014/05/01,0.4127091376944477,-0.027674859293988607,1.1140292563684384,0.029292055091692665,0.5638695891060521,0.024790588919113985,-0.020272872212226452,-0.148617725186714,-0.019665587727742816,0.5706353681030306,-0.2557619715071426,0.3032808463494505,-0.40509327845156523
2014/06/01,0.4127091376944477,0.062344463244701505,1.1140292563684384,-0.07446967144664701,0.6742225849166743,-0.04408008160700762,0.00358753762851724,-0.1418782788789228,0.10969027821474328,0.7452480661573265,-0.2557619715071426,0.16839660946592305,-0.4279742269148155
2014/07/01,0.3396807393458367,0.017334801975356248,-0.16859007481019977,-0.27959578819219294,0.7717846653037931,-0.09813751085526724,-0.06359054723230889,-0.17003064955028976,-0.019665587727742816,0.6351361008935363,-0.34379167332820504,0.053362770130971335,-0.23920640209300048
2014/08/01,0.3396807393458367,0.062344463244701505,-0.16859007481019977,0.22960537099571726,0.5790431260300134,-0.26344060520410695,-0.2820422468500877,-0.22586906180575855,0.3037240771284724,0.6176287591361133,-0.2557619715071426,-0.03926037476109834,-0.3221498402722829
